Bestandsnaam	Freq.	Percent	Cum.	Popularity
PGGM	1	0.01	99.23	low
ONDERZOEKGEZINSVORMING	1	0.01	99.24	low
OBW2021	1	0.01	99.25	low
OBW2016-2022	1	0.01	99.26	low
OBJECTENERGIELABELSTAB	1	0.01	99.27	low
NTR_KOPPEL	1	0.01	99.28	low
NKO	1	0.01	99.29	low
NIB2023	1	0.01	99.3	low
NIB2022	1	0.01	99.31	low
NIB2021	1	0.01	99.32	low
NDS	1	0.01	99.33	low
NBO	1	0.01	99.34	low
MSZDGAddonGeneesmVEKTTAB2021	1	0.01	99.35	low
MSZDGAddonGeneesmVEKTTAB2020	1	0.01	99.36	low
MILKBED	1	0.01	99.37	low
MICWWPERSOONBUS	1	0.01	99.38	low
MICANWPERSOONBUS	1	0.01	99.39	low
MBO_DEELNEMERS	1	0.01	99.4	low
LOGIESEXPLTG	1	0.01	99.41	low
LOGIESEXPLPROV	1	0.01	99.42	low
LMo	1	0.01	99.43	low
LINHNIVEL	1	0.01	99.44	low
LANDBOUWTELLINGEN	1	0.01	99.45	low
KENHUURCN	1	0.01	99.46	low
HO_DEELNEMERS	1	0.01	99.47	low
HALT	1	0.01	99.48	low
GPE	1	0.01	99.49	low
GEMON2024	1	0.01	99.5	low
GBAVERWEDUWDENMASSABUS	1	0.01	99.51	low
GBA_IMMDATUM	1	0.01	99.52	low
FIN_GEMEENTEN	1	0.01	99.53	low
EXAMVOVAKINT	1	0.01	99.54	low
EXAMENCIJFERS_VO	1	0.01	99.55	low
ENERGIEVERBRUIKMAANDTAB	1	0.01	99.56	low
EFOR_IBVariabelenPerOnderneming	1	0.01	99.57	low
EFOR_IBVariabelenPerOndernemer	1	0.01	99.58	low
EDUCATIE_DEELNAME	1	0.01	99.59	low
EBWMOZTHTAB	1	0.01	99.6	low
EBBARBZORGTAB	1	0.01	99.61	low
EBBARBEIDZORGTAB	1	0.01	99.62	low
DHS	1	0.01	99.63	low
CV_SLI	1	0.01	99.64	low
CPI	1	0.01	99.65	low
CCO	1	0.01	99.66	low
BUS_TRANS	1	0.01	99.67	low
BUITENGEWICHT	1	0.01	99.68	low
BDS	1	0.01	99.69	low
ARBEIDSAANBODPANEL	1	0.01	99.7	low
ANWPERSOONMNDBEDRAGBUS	1	0.01	99.71	low
ANWPERSOONBUS	1	0.01	99.72	low
ANWJAARBEDRAGTAB	1	0.01	99.73	low
